factor,name,category,direction,top_group_mean_return,bottom_group_mean_return,group1_minus_group5,n
revenue_growth_yoy,营收增长率,成长,1,0.06762810163556016,-0.061145805129224635,0.12877390676478478,298
momentum_20d,月度动量,动量,1,0.042175504886412564,-0.06351685080206697,0.10569235568847954,298
net_profit_growth_yoy,净利润增长率,成长,1,0.03877198988121406,-0.040082960656757614,0.07885495053797167,298
roe,ROE,质量,1,0.029606450420247465,-0.046551268846661095,0.07615771926690856,298
gross_margin,毛利率,质量,1,-0.021899697104048283,-0.05174981086955436,0.029850113765506076,298
turnover_change,换手率变化,动量,1,0.01235200939486658,-0.013555504098367154,0.02590751349323373,298
volatility_60d,60日波动率,波动,-1,-0.0184698818758332,0.07796897757736518,-0.09643885945319838,298
pe_percentile,PE分位数,价值,-1,-0.04323461147251652,0.054150042479187005,-0.09738465395170352,298
pb_percentile,PB分位数,价值,-1,-0.07296512757847044,0.07883523116841258,-0.15180035874688302,298
