symbol,name,industry
000001,平安银行,unknown
000002,万科A,unknown
000063,中兴通讯,unknown
000100,TCL科技,unknown
000157,中联重科,unknown
000166,申万宏源,unknown
000301,东方盛虹,unknown
000333,美的集团,unknown
000338,潍柴动力,unknown
000408,藏格矿业,unknown
000425,徐工机械,unknown
000538,云南白药,unknown
000568,泸州老窖,unknown
000596,古井贡酒,unknown
000617,中油资本,unknown
000625,长安汽车,unknown
000630,铜陵有色,unknown
000651,格力电器,unknown
000657,中钨高新,unknown
000708,中信特钢,unknown
000725,京东方A,unknown
000768,中航西飞,unknown
000776,广发证券,unknown
000792,盐湖股份,unknown
000807,云铝股份,unknown
000858,五 粮 液,unknown
000895,双汇发展,unknown
000938,紫光股份,unknown
000963,华东医药,unknown
000975,山金国际,unknown
000977,浪潮信息,unknown
000988,华工科技,unknown
000999,华润三九,unknown
001280,中国铀业,unknown
001391,国货航,unknown
001965,招商公路,unknown
001979,招商蛇口,unknown
002001,新和成,unknown
002027,分众传媒,unknown
002028,思源电气,unknown
002049,紫光国微,unknown
002050,三花智控,unknown
002074,国轩高科,unknown
002142,宁波银行,unknown
002179,中航光电,unknown
002202,金风科技,unknown
002230,科大讯飞,unknown
002236,大华股份,unknown
002241,歌尔股份,unknown
002304,洋河股份,unknown
002311,海大集团,unknown
002352,顺丰控股,unknown
002353,杰瑞股份,unknown
002371,北方华创,unknown
002384,东山精密,unknown
002415,海康威视,unknown
002422,科伦药业,unknown
002460,赣锋锂业,unknown
002463,沪电股份,unknown
002466,天齐锂业,unknown
002475,立讯精密,unknown
002493,荣盛石化,unknown
002532,天山铝业,unknown
002558,巨人网络,unknown
002594,比亚迪,unknown
002600,领益智造,unknown
002602,世纪华通,unknown
002625,光启技术,unknown
002648,卫星化学,unknown
002709,天赐材料,unknown
002714,牧原股份,unknown
002736,国信证券,unknown
002837,英维克,unknown
002916,深南电路,unknown
002920,德赛西威,unknown
002938,鹏鼎控股,unknown
003816,中国广核,unknown
300014,亿纬锂能,unknown
300015,爱尔眼科,unknown
300033,同花顺,unknown
300059,东方财富,unknown
300122,智飞生物,unknown
300124,汇川技术,unknown
300251,光线传媒,unknown
300274,阳光电源,unknown
300308,中际旭创,unknown
300316,晶盛机电,unknown
300394,天孚通信,unknown
300408,三环集团,unknown
300413,芒果超媒,unknown
300418,昆仑万维,unknown
300433,蓝思科技,unknown
300442,润泽科技,unknown
300450,先导智能,unknown
300476,胜宏科技,unknown
300498,温氏股份,unknown
300502,新易盛,unknown
300628,亿联网络,unknown
300661,圣邦股份,unknown
300750,宁德时代,unknown
300760,迈瑞医疗,unknown
300803,指南针,unknown
300832,新产业,unknown
300866,安克创新,unknown
300896,爱美客,unknown
300999,金龙鱼,unknown
301165,锐捷网络,unknown
301236,软通动力,unknown
301269,华大九天,unknown
301308,江波龙,unknown
302132,中航成飞,unknown
600000,浦发银行,unknown
600009,上海机场,unknown
600010,包钢股份,unknown
600011,华能国际,unknown
600015,华夏银行,unknown
600016,民生银行,unknown
600018,上港集团,unknown
600019,宝钢股份,unknown
600023,浙能电力,unknown
600025,华能水电,unknown
600026,中远海能,unknown
600027,华电国际,unknown
600028,中国石化,unknown
600029,南方航空,unknown
600030,中信证券,unknown
600031,三一重工,unknown
600036,招商银行,unknown
600039,四川路桥,unknown
600048,保利发展,unknown
600050,中国联通,unknown
600061,国投资本,unknown
600066,宇通客车,unknown
600085,同仁堂,unknown
600089,特变电工,unknown
600104,上汽集团,unknown
600111,北方稀土,unknown
600115,中国东航,unknown
600118,中国卫星,unknown
600150,中国船舶,unknown
600160,巨化股份,unknown
600176,中国巨石,unknown
600183,生益科技,unknown
600188,兖矿能源,unknown
600196,复星医药,unknown
600219,南山铝业,unknown
600221,海航控股,unknown
600233,圆通速递,unknown
600276,恒瑞医药,unknown
600309,万华化学,unknown
600346,恒力石化,unknown
600362,江西铜业,unknown
600372,中航机载,unknown
600406,国电南瑞,unknown
600415,小商品城,unknown
600426,华鲁恒升,unknown
600436,片仔癀,unknown
600438,通威股份,unknown
600460,士兰微,unknown
600482,中国动力,unknown
600489,中金黄金,unknown
600515,海南机场,unknown
600519,贵州茅台,unknown
600522,中天科技,unknown
600547,山东黄金,unknown
600549,厦门钨业,unknown
600570,恒生电子,unknown
600584,长电科技,unknown
600585,海螺水泥,unknown
600588,用友网络,unknown
600600,青岛啤酒,unknown
600660,福耀玻璃,unknown
600674,川投能源,unknown
600690,海尔智家,unknown
600741,华域汽车,unknown
600760,中航沈飞,unknown
600795,国电电力,unknown
600803,新奥股份,unknown
600809,山西汾酒,unknown
600845,宝信软件,unknown
600875,东方电气,unknown
600886,国投电力,unknown
600887,伊利股份,unknown
600893,航发动力,unknown
600900,长江电力,unknown
600905,三峡能源,unknown
600918,中泰证券,unknown
600919,江苏银行,unknown
600926,杭州银行,unknown
600930,华电新能,unknown
600938,中国海油,unknown
600941,中国移动,unknown
600958,东方证券,unknown
600989,宝丰能源,unknown
600999,招商证券,unknown
601006,大秦铁路,unknown
601009,南京银行,unknown
601012,隆基绿能,unknown
601018,宁波港,unknown
601021,春秋航空,unknown
601058,赛轮轮胎,unknown
601059,信达证券,unknown
601066,中信建投,unknown
601077,渝农商行,unknown
601088,中国神华,unknown
601100,恒立液压,unknown
601111,中国国航,unknown
601117,中国化学,unknown
601127,赛力斯,unknown
601136,首创证券,unknown
601138,工业富联,unknown
601166,兴业银行,unknown
601169,北京银行,unknown
601186,中国铁建,unknown
601211,国泰海通,unknown
601225,陕西煤业,unknown
601229,上海银行,unknown
601238,广汽集团,unknown
601288,农业银行,unknown
601318,中国平安,unknown
601319,中国人保,unknown
601328,交通银行,unknown
601336,新华保险,unknown
601360,三六零,unknown
601377,兴业证券,unknown
601390,中国中铁,unknown
601398,工商银行,unknown
601456,国联民生,unknown
601600,中国铝业,unknown
601601,中国太保,unknown
601607,上海医药,unknown
601618,中国中冶,unknown
601628,中国人寿,unknown
601633,长城汽车,unknown
601658,邮储银行,unknown
601668,中国建筑,unknown
601669,中国电建,unknown
601688,华泰证券,unknown
601689,拓普集团,unknown
601698,中国卫通,unknown
601727,上海电气,unknown
601728,中国电信,unknown
601766,中国中车,unknown
601788,光大证券,unknown
601800,中国交建,unknown
601816,京沪高铁,unknown
601818,光大银行,unknown
601825,沪农商行,unknown
601838,成都银行,unknown
601857,中国石油,unknown
601868,中国能建,unknown
601872,招商轮船,unknown
601877,正泰电器,unknown
601878,浙商证券,unknown
601881,中国银河,unknown
601888,中国中免,unknown
601898,中煤能源,unknown
601899,紫金矿业,unknown
601901,方正证券,unknown
601916,浙商银行,unknown
601919,中远海控,unknown
601939,建设银行,unknown
601985,中国核电,unknown
601988,中国银行,unknown
601995,中金公司,unknown
601998,中信银行,unknown
603019,中科曙光,unknown
603259,药明康德,unknown
603260,合盛硅业,unknown
603288,海天味业,unknown
603296,华勤技术,unknown
603369,今世缘,unknown
603392,万泰生物,unknown
603501,豪威集团,unknown
603799,华友钴业,unknown
603893,瑞芯微,unknown
603986,兆易创新,unknown
603993,洛阳钼业,unknown
605117,德业股份,unknown
605499,东鹏饮料,unknown
688008,澜起科技,unknown
688009,中国通号,unknown
688012,中微公司,unknown
688036,传音控股,unknown
688041,海光信息,unknown
688047,龙芯中科,unknown
688072,拓荆科技,unknown
688082,盛美上海,unknown
688111,金山办公,unknown
688126,沪硅产业,unknown
688183,生益电子,unknown
688223,晶科能源,unknown
688256,寒武纪,unknown
688271,联影医疗,unknown
688303,大全能源,unknown
688396,华润微,unknown
688472,阿特斯,unknown
688506,百利天恒,unknown
688521,芯原股份,unknown
688981,中芯国际,unknown
